Name,Address,Website,Contact,JDVerified
 DOON Cambridge School,"Race Course, Race Course Road  Near Police Line, Dehradun City, Dehradun - 248001, 2nd Branch Also In Haridwar E40/41 INDUSTRIAL AREA",http://www.dooncambridge.school,+919152684172,Verified
 KIDZEE RACE  COURSE,"290/219 Shri Guru Gobind Singh Chowk( Suri Chowk), Dehradun City, Dehradun - 248001",http://www.kidzee.com,+919152639679,Verified
 Kiddyland School,"Shakti Vihar, Adhoiwala, Sahastradhara Road, Dehradun City, Dehradun - 248001, Near Sahastradhara Crossing",None,+919152198941,Verified
 Subhash Chandra Bose Academy,"Vill & P.O Nathuwawala, raipur  gullarghati road, Nathuwala, Dehradun - 248008",http://www.subhashchandraboseacademy.edu.in,+919152595801,Verified
 Infinite Dimensions- The Ved School,"75/6, Rajpur Road, Dehradun - 248001, Behind Raj Plaza Complex",http://www.indimindia.com,+919152946512,Verified
 Shivalik Academy,"Rajawala Road, Selaqui, Dehradun - 248011",None,+919152909597,Verified
 The Pestle Weed School,"Oak Hill Estate, Mussoorie Diversion Road, Dehradun City, Dehradun - 248001, Main Mussoorie Road",http://www.thepestleweedschool.com,+919152733670,Verified
 Quantum University,"Transport Nagar, Dehradun City, Dehradun - 248001, Doon Business Park",None,+919152893086,Verified
 Tula's International School,"Dhulkot, Selaqui, Dehradun - 248011,",http://www.tulasinternational.edu.in,13526993331352699444,Not Verified
 Doon Defence Academy,"29, Subhash Road, Karanpur, Dehradun - 248001, Behind Lord Venkateshwar Wedding Point",http://www.doondefenceacademy.com,+919897030757+917060016868,Not Verified
 Doon International School,"32, Curzon Rd Dalanwala, Dalanwala, Dehradun - 248001",http://disdehradun.com/,13526560881352658491,Not Verified
 The Doon School,"The Mall Road, Dehradun - 248001",http://www.doonschool.com,13525264001352526406,Not Verified
 St Josephs Academy,"Rajpur Rd, Dehradun Cantt, Dehradun - 248003",http://www.stjosephacademy.in,13527120711352712426,Not Verified
 The Asian School,"Asian Acres Vasant Vihar, Indira Nagar, Indira Nagar, Dehradun City, Dehradun - 248001",http://www.theasianschool.net,+918859500084,Not Verified
 Army Public School,"Clement Town, Dehradun - 248002, Near Kala Ground",http://www.apsclementtown.org,1352643584,Not Verified
 Brightlands School,"1, Dick Road, Dehradun City, Dehradun - 248001, Near Dalanwala",http://www.brightlandschool.co.in,1352656157,Not Verified
 Welhams Boy School,"5, Circular Road, Dalanwala, Dehradun - 248001, Masuri road",http://www.welhamboys.org,13526571201352652935,Not Verified
 Welham Girls School,"No 12, Circular Road, Dalanwala, Dehradun - 248001",http://www.welhamgirls.com,13526542931352654754,Not Verified
 Summer Valley School,"18, Teg Bahadur Road, Dehradun - 248001, Near Dena Bank",http://www.summervalleyschool.com,13526733831352678355,Not Verified
 DSB International Public School,"Byepass Rd, Gumaniwala Rishikesh, Gumaniwala, Dehradun - 249204",http://www.dsbschool.net,13524528571352452583,Not Verified
 ST Jude's School,"West Canal Road Majra St.jude`s School, Dehradun City, Dehradun - 248001",None,1352644353,Not Verified
 Aryan School,"Mussoorie Diversion Road, Dehradun - 248001, Malsi Greens",http://www.thearyanschool.com,+919152527445,Verified
 Scholars Home School,"153, Rajpur Rd, Malsi, Rajpur Road, Dehradun - 248195",http://www.scholarshome.com/,1352734337,Not Verified
 Sgrr Race Course School,"Amarshahid Anand Colony, Ajabpur Kalan, Dehradun - 248001",http://www.sgrrracecourse.com/,1352621942,Not Verified
 Kasiga School,"5km, Rajpur, Dehradun - 248001, Village Purkul, Mussorrie Highway",http://www.kasigaschool.com,1353090100+919917480901,Not Verified
 Kendriya Vidyalaya,"ONGC Kaulagarh Road, Adjacent to PNB, Hathibarkala Salwala, Dehradun - 248001, Dehradun - 248195.",http://www.kvongcddn.net,1352754378,Not Verified
 Cambrian Hall School,"13, Young Rd, Cantt, Dehradun - 248003",http://www.cambrianhall.in,13527535891352753215,Not Verified
 Kendriya Vidyalaya,"Ongc Colony North, Rajendra Nagar, Dehradun - 248003",http://www.kvongcddn.net/,13526413891352754378,Not Verified
 D A V Public School,"Haridwar Rd, Dehradun - 248001, Sec - 4,Defence Clny",None,1352665059,Not Verified
 Selaqui International School,"Chakrata Road, Selaqui, Dehradun - 248011, Near Phrmacity",http://www.selaqui.org,1353051000+919927000585,Not Verified
 Social Baluni Public School,"Bypass Road, Morowala, Haridwar, Clement Town, Dehradun - 248002",http://www.sbpsdoon.com/,+918193000102,Not Verified
 Unison World School,"Mussoorie Diversion Road, Bhagwantpur, Dehradun - 248009, Kirsali Greens",None,13530000001353000006,Not Verified
 Kendriya Vidyalaya,"Hathibarakala, Dehradun, Hathibarkala Salwala, Dehradun - 248001, Uttarakhand-248001",http://www.kv1hbkddn.org/,1352743244,Not Verified
 Max International School,"Dehradun City, Dehradun - 248001, Tea Estate, Banjarawala",http://www.maxinternationalschooldoon.com,1352520382+919259641744,Not Verified
 Max International School,"Thdc Colony, Banjarawala, Dehradun - 248001",None,+919259641744,Not Verified
 Raja Ram Mohan Roy Academy,"Post Office Clement Town, Dehradun, Dehradun City, Dehradun - 248001",http://www.royites.com,1352641640,Not Verified
 Sanskar International School,"Haridwar Road, Badripur, Dehradun - 248005, Jogiwala,Near Railway T",http://www.sisdoon.com,13526654661352665468,Not Verified
 Colonel's Academy,"Bharpur, Dehradun - 248007",None,1352693118+919412056327,Not Verified
 New Era Academy,"Sai Lok Colony, Jhewaredi, Jhewaredi, Dehradun - 248007",http://www.neadoonschool.com/,1352680889,Not Verified
